,meas_smax,smax_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
15,282.0232429555187,271.1048463018495,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
17,282.0232429555187,271.1048463018495,1,2-32R1,3,1,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
24,218.7776356012505,211.0519485390029,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
26,218.7776356012505,211.0519485390029,1,2-8R,3,1,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
40,160.0,221.24471801032095,2,R17,6,1,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
44,160.0,221.24471801032095,2,R17,6,2,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
68,170.0,227.29477632708057,2,R21,7,1,5.6613871276362335,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
73,170.0,227.29477632708057,2,R21,7,2,5.6613871276362335,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
103,350.0,311.85799695002413,2,R33,6,1,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
108,350.0,312.10371178967733,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
113,180.0,309.49368497332733,2,R49,7,2,5.34192928468556,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
118,180.0,309.49368497332733,2,R49,7,1,5.34192928468556,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
135,210.0,388.48682487252603,2,R61,6,1,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
