,meas_smax,smax_002,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
39,160.0,158.5889462311636,2,R17,6,1,0.0,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
43,160.0,158.5889462311636,2,R17,6,2,0.0,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
48,210.0,120.72119993813683,2,R18,7,1,0.0,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
53,220.0,171.72119993813683,2,R18,7,2,0.0,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
58,180.0,186.72860429875695,2,R19,5,1,0.0,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
62,170.0,186.72860429875695,2,R19,5,2,0.0,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
67,170.0,113.50884459309697,2,R21,7,1,0.0,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
72,170.0,161.95884459309696,2,R21,7,2,0.0,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
77,220.0,213.80912345646558,2,R25,7,1,0.0,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
81,220.0,213.80912345646558,2,R25,7,2,0.0,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
86,220.0,213.80743359069496,2,R26,7,1,0.0,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
90,220.0,213.80743359069496,2,R26,7,2,0.0,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
93,330.0,213.8613816406523,2,R29,5,1,0.0,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
97,330.0,213.8613816406523,2,R29,5,2,0.0,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
101,350.0,186.76429612830617,2,R33,6,1,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
106,350.0,207.16429612830618,2,R33,7,2,0.0,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
111,180.0,207.15371315125375,2,R49,7,2,0.0,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
116,180.0,212.25371315125375,2,R49,7,1,0.0,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
125,190.0,182.87754845725462,2,R58,6,1,0.0,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
129,220.0,190.52754845725462,2,R58,7,2,0.0,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
133,210.0,237.47098191985395,2,R61,6,1,0.0,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
137,210.0,247.67098191985394,2,R61,6,2,0.0,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
141,280.0,227.291103057831,2,R66,6,1,0.0,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
